
 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=X(FCC_A1#1,C), col-3=X(FCC_A1#1,CR), col-4=X(FCC_A1#1,FE),
   col-5=X(FCC_A1#1,MN), col-6=X(FCC_A1#1,NI), col-7=X(FCC_A1#1,SI),
   col-8=NP(FCC_A1#1),
   1.17300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.18300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.19300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.20300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.21300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.22300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.23300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.24300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.25300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.26300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.27300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.28300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.29300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.30300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.31300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.32300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.33300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.34300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
   1.35300E+03   6.80243E-03   1.04757E-06   9.03155E-01   9.91469E-07 
    4.64043E-02   4.36365E-02   1.00000E+00
