
 Phase Region for:
     CEMENTITE                     
     FCC_A1#2                      
 col-1=T, col-2=W(CEMENTITE,C), col-3=W(CEMENTITE,CR), col-4=W(CEMENTITE,FE),
   col-5=W(CEMENTITE,MN), col-6=W(CEMENTITE,NI), col-7=W(CEMENTITE,SI),
   col-8=W(FCC_A1#2,C), col-9=W(FCC_A1#2,CR), col-10=W(FCC_A1#2,FE),
   col-11=W(FCC_A1#2,MN), col-12=W(FCC_A1#2,NI), col-13=W(FCC_A1#2,SI),
   col-14=NP(CEMENTITE), col-15=NP(FCC_A1#2),
   1.17300E+03   6.79177E-02   1.98999E-01   6.92971E-01   3.85209E-02 
    1.59197E-03   0.00000E+00   7.33654E-03   2.95428E-02   8.95546E-01 
    2.99769E-02   1.50368E-02   2.25611E-02   3.24103E-03   9.96759E-01
   1.17897E+03   6.79148E-02   1.98467E-01   6.93635E-01   3.83688E-02 
    1.61512E-03   0.00000E+00   7.50000E-03   3.00000E-02   8.94999E-01 
    3.00000E-02   1.50005E-02   2.25002E-02   0.00000E+00   1.00000E+00

 Phase Region for:
     FCC_A1#2                      
 col-1=T, col-2=W(FCC_A1#2,C), col-3=W(FCC_A1#2,CR), col-4=W(FCC_A1#2,FE),
   col-5=W(FCC_A1#2,MN), col-6=W(FCC_A1#2,NI), col-7=W(FCC_A1#2,SI),
   col-8=NP(FCC_A1#2),
   1.17897E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.18300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.19300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.20300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.21300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.22300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.23300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.24300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.25300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.26300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.27300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.28300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.29300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.30300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.31300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.32300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.33300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.34300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.35300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.36300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.37300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.38300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.39300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
   1.40300E+03   7.50000E-03   3.00000E-02   8.94999E-01   3.00000E-02 
    1.50005E-02   2.25002E-02   1.00000E+00
